Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Postal_Code,Diversity_Spotlight,Estimated_Revenue_Range,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Last_Leadership_Hiring_Date,Last_Layoff_Mention_Date,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Job_Postings_on_Linkedin,Job_postings_on_official_website,Additional_Comment
Realm.Security,https://www.crunchbase.com/organization/realm-security,1/1/2024,,11-50,Realm.Security has created a platform that can combine and manage cybersecurity data,Cyber Security,"Information Technology, Privacy and Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",,,,Active,Seed,1,"$5,000,000.00",USD,9/12/2024,Seed,"$5,000,000.00",USD,2,"Glasswing Ventures, Accomplice",,,0.1,4.9,8.0,93.00%,Y,0,7,
NeuBird,https://www.crunchbase.com/organization/neubird,1/1/2023,Vinod Jayaraman,11-50,NeuBird is a first-of-its-kind cloud-based generative operations platform for enterprises.,"Information Technology, Internet","Information Technology, Internet Services","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94063,,,Active,Seed,2,"$22,500,000.00",USD,12/11/2024,Seed,"$44,500,000.00",USD,2,"StepStone Group, Mayfield Fund, Prosperity7 Ventures, M12 - Microsoft's Venture Fund, AIspace Ventures",,,0.0,-0.8,2.2,92.00%,Y,0,3,
Duckfund,https://www.crunchbase.com/organization/duckfund,5/1/2023,"Anna Kogan, Dmitry Matveyev",11-50,Soft Deposit Financing for Commercial Real Estate Investors and Developers,Commercial Real Estate,Real Estate,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",11103,"Women Founded, Women Led",,Active,,1,"$100,000,000.00",USD,11/27/2024,Debt Financing,"$100,000,000.00",USD,,Clear Haven Capital Management,,,0.0,-0.2,1.7,0.00%,N,0,,
Euno,https://www.crunchbase.com/organization/euno-36f7,1/1/2023,"Eyal Firstenberg, Sarah Levy Schreier",11-50,Euno provides a metadata management platform that automates data governance and enhances AI readiness for analytics.,"Analytics, Data Governance, IT Infrastructure","Data and Analytics, Information Technology","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94040,Women Founded,$1M to $10M,Active,Seed,1,"$6,250,000.00",USD,3/19/2024,Seed,"$6,250,000.00",USD,1,"10D, INT3, Barr Moses, Lior Gavish, Yoni Broyde",,,0.0,-0.8,4.1,31.00%,Y,0,2,
Propense.ai,https://www.crunchbase.com/organization/propense-ai,1/5/2023,"Alexander Diaz Fraenkel, Nnamdi Anyanwu, Timothy Keith",11-50,"Propense.ai is a SaaS platform that identifies new revenue streams for businesses, augmented with AI technology.","Artificial Intelligence (AI), Predictive Analytics, SaaS, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",,"Black Founded, Black Led",$1M to $10M,Active,,2,,,10/29/2024,Venture - Series Unknown,"$3,000,000.00",USD,2,"New Enterprise Associates, Harlem Capital, Operator Collective, Thomson Reuters Ventures, Florida Opportunity Fund",,,0.0,-0.1,-0.7,11.00%,Y,0,2,
Boon,https://www.crunchbase.com/organization/boon-aebf,1/1/2023,,11-50,Boon uses AI to find and book the most profitable business to book head hauls and back hauls.,"Artificial Intelligence (AI), Information Technology, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94402,,,Active,Early Stage Venture,2,"$15,500,000.00",USD,12/20/2024,Series A,"$20,500,000.00",USD,2,"Redpoint, Marathon Management Partners",,,0.0,2.4,4.3,135.00%,Y,0,3,8 jobs open in past 7months
Algebrik AI,https://www.crunchbase.com/organization/algebrik-ai,1/1/2024,Pankaj Jain,11-50,"Algebrik AI is a cloud-native and AI digital-era loan origination system company that provides automation, insights, and workflow services.","Artificial Intelligence (AI), Cloud Data Services, Lending","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Internet Services, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10022,,$1M to $10M,Active,Early Stage Venture,1,"$4,000,000.00",USD,11/4/2024,Series A,"$4,000,000.00",USD,1,Bhupinder Singh,,,-0.8,-3.0,-0.6,383.00%,N,0,,
SmartWiz,https://www.crunchbase.com/organization/smartwiz-5770,1/1/2023,,11-50,SmartWiz is an AI-enabled IRS that simplifies the tax preparation process.,"Accounting, Artificial Intelligence (AI), FinTech, Software","Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software","Birmingham, Alabama, United States",Southern US,,"Black Founded, Black Led",,Active,Seed,4,"$2,000,000.00",USD,12/20/2024,Seed,"$3,750,000.00",USD,2,"Techstars, Level Up Ventures, Black Founders Fund",,,1.2,1.8,-0.3,5.00%,N,0,,
"DBOS, Inc.",https://www.crunchbase.com/organization/dbos-inc,3/11/2023,"Andy Palmer, Christos Kozyrakis, Chuck Bear, Michael Coden, Mike Stonebraker, Peter Kraft, Qian Li",11-50,"Software development technology, cloud-native, serverless computing","Cloud Computing, Database, Operating Systems, Software Engineering","Data and Analytics, Internet Services, Platforms, Science and Engineering, Software","Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",2138,Women Founded,$1M to $10M,Active,Seed,1,"$8,500,000.00",USD,3/12/2024,Seed,"$8,500,000.00",USD,2,"Engine Ventures, Construct Capital, SineWave Ventures, Gutbrain Ventures",,,0.8,1.5,-0.1,-8.00%,N,0,,
Mezo,https://www.crunchbase.com/organization/mezo-ee11,1/1/2024,Matt Luongo,11-50,Mezo is a platform that empowers people to live off their Bitcoin without selling it,"Bitcoin, Blockchain, Cryptocurrency, Finance, Personal Finance","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,,,Active,Early Stage Venture,2,"$7,500,000.00",USD,7/26/2024,Series A,"$28,500,000.00",USD,2,"Pantera Capital, Draper Associates, Bybit, GSR, Hack VC",,,-0.3,-0.7,-1.5,27.00%,Y,0,5,
Axena Health,https://www.crunchbase.com/organization/axena-health,1/1/2023,,11-50,Axena Health develops commercial-stage medical devices for women's pelvic health.,"Health Care, Medical, Medical Device",Health Care,"Newton, Massachusetts, United States","Greater Boston Area, East Coast, New England",2466,,$1M to $10M,Active,Early Stage Venture,3,"$9,400,000.00",USD,6/4/2024,Series A,"$36,200,000.00",USD,2,"AXA Investment Managers, Cross-Border Impact Ventures, KOFA Healthcare, Avestria Ventures",,,-0.1,0.4,3.2,24.00%,N,0,,
Full Glass Wine Co,https://www.crunchbase.com/organization/full-glass-wine-co,1/1/2023,"Louis Amoroso, Neha Kumar",11-50,Full Glass Wine Co. is a brand acquisition and management firm focused on rapidly acquiring Direct-to-Consumer (DTC) wine.,"Food and Beverage, Retail","Commerce and Shopping, Food and Beverage","Lake Forest, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",,Women Founded,Less than $1M,Active,Early Stage Venture,1,"$14,000,000.00",USD,4/4/2024,Series A,"$14,000,000.00",USD,1,Shea Ventures,,,-0.2,3.5,1.4,16.00%,N,0,,
Jimini Health,https://www.crunchbase.com/organization/jimini-health,9/8/2023,"Luis Voloch, Mark Jacobstein, Sahil Sud",11-50,Jimini’s mission is to radically improve the efficacy of mental health care across the world.,"Artificial Intelligence (AI), Health Care, Mental Health, Wellness","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Stanford, California, United States","San Francisco Bay Area, West Coast, Western US",94305,,$1M to $10M,Active,Seed,1,"$8,000,000.00",USD,11/19/2024,Pre-Seed,"$8,000,000.00",USD,,"BoxGroup, South Park Commons, Zetta Venture Partners, PsyMed Ventures, LionBird",7/8/2025,,-0.1,-1.1,-0.2,-5.00%,N,0,,
1mind,https://www.crunchbase.com/organization/1mind,1/1/2024,Amanda Kahlow,11-50,1mind is a platform that deploys AI-powered Superhumans for revenue teams.,"Artificial Intelligence (AI), Customer Service, SaaS, Sales Automation, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Sales and Marketing, Science and Engineering, Software","Mill Valley, California, United States","San Francisco Bay Area, West Coast, Western US",94941,,Less than $1M,Active,Seed,2,"$7,500,000.00",USD,4/21/2024,Seed,"$7,500,000.00",USD,1,"Primary Venture Partners, Machina Ventures",,,0.0,0.7,0.9,79.00%,Y,0,6,
BlinqIO,https://www.crunchbase.com/organization/blinqio,6/1/2023,"Guy Arieli, Tal Barmeir",11-50,Blinq.io is an AI-powered test automation platform for generating and maintaining tests across web and mobile apps.,"Artificial Intelligence (AI), Generative AI, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",19801,Women Founded,$1M to $10M,Active,Seed,2,"$5,000,000.00",USD,6/12/2024,Seed,"$5,000,000.00",USD,1,"Inovia Capital, Flint Capital, Tal Ventures, SeedIL Ventures",,,0.1,1.2,-0.3,-16.00%,N,0,,
Anon,https://www.crunchbase.com/organization/anon-df99,3/1/2023,"Daniel Mason, Kai Aichholz, Peter Nesbitt",11-50,The Integration Platform for the Internet. Empowering AI developers to build user-permissioned integrations for sites without APIs.,"Developer Platform, Generative AI, Identity Management, Software","Artificial Intelligence (AI), Information Technology, Privacy and Security, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94102,,$1M to $10M,Active,Seed,3,"$8,275,000.00",USD,11/13/2024,Seed,"$14,875,000.00",USD,5,"Forerunner, Union Square Ventures, Abstract, Okta Ventures, BlockTower Capital",,,0.0,-0.2,-2.3,74.00%,Y,0,3,2 jobs open in past year
Chatter Social,https://www.crunchbase.com/organization/chatter-3a7c,10/10/2023,Nelson Epega,11-50,Chatter is a social platform that combines real-time and asynchronous interactions with artificial intelligence features.,"Art, Content Creators, Social Media, Social Network, Video","Internet Services, Media and Entertainment, Video","Bethesda, Maryland, United States","Washington DC Metro Area, East Coast, Southern US",,,,Active,Seed,1,"$4,000,000.00",USD,2/18/2024,Angel,"$4,000,000.00",USD,1,Davido Davido,,,-0.1,-1.0,7.4,50.00%,N,0,,
Daytona,https://www.crunchbase.com/organization/daytona-4480,1/1/2023,"Goran Draganic, Ivan Burazin, Vedran Jukic",11-50,"Daytona is cloud infrastructure for AI agents, enabling them to run tools and code autonomously in fast, secure, and isolated environments.","Artificial Intelligence (AI), Cloud Infrastructure, Generative AI, Web Development","Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10001,,$1M to $10M,Active,Seed,2,"$5,000,000.00",USD,6/25/2024,Seed,"$7,000,000.00",USD,1,"500 Global, Upfront Ventures, 500 Emerging Europe, Firestreak Ventures, Darkmode Ventures",,,0.2,0.0,4.1,9.00%,Y,0,13,
Leap AI,https://www.crunchbase.com/organization/leap-ai-1c2c,1/1/2023,"Alex Schachne, Claudio Fuentes",11-50,Build powerful AI workflows in minutes.,"Apps, Artificial Intelligence (AI), Developer APIs, Internet, Machine Learning, SaaS","Apps, Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94123,Hispanic / Latine Founded,,Active,Seed,2,"$1,400,000.00",USD,1/9/2024,Seed,"$1,400,000.00",USD,1,"Gaingels, Founders, Inc., Carya Venture Partners, Paul Copplestone, A-Level Capital",,,0.0,-0.3,-0.3,-71.00%,N,0,,
Vantage Discovery,https://www.crunchbase.com/organization/vantage-discovery,5/1/2023,"Lance Riedel, Nigel Daley",11-50,Vantage Discovery is a generative AI-powered SaaS search and content discovery platform that provides personalized shopping recommendations.,"Artificial Intelligence (AI), Content Discovery, Personalization, SaaS, Semantic Search","Artificial Intelligence (AI), Commerce and Shopping, Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,$1M to $10M,Active,M&A,2,"$16,000,000.00",USD,6/1/2024,Series A,"$20,000,000.00",USD,2,"The Hive, Future Positive, lobby capital, Biz Stone, Jony Ive",,,0.0,2.7,-0.2,-76.00%,Y,0,25,
Avenacy,https://www.crunchbase.com/organization/avenacy,7/1/2023,Jeff Yordon,11-50,Avenacy is a pharmaceutical manufacturing company specializing in critical injectable medications like eptifibatide and fulvestrant.,"Manufacturing, Medical, Pharmaceutical","Health Care, Manufacturing","Schaumburg, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",,,$1M to $10M,Active,,1,"$26,030,368.00",USD,11/26/2024,Undisclosed,"$26,030,368.00",USD,,,1/6/2025,,0.0,-1.9,-0.6,4.00%,Y,0,1,
Fixify,https://www.crunchbase.com/organization/fixify,7/1/2023,"Mase Issa, Matt Peters, Peter Silberman",11-50,Fixify is an AI powered managed service provider for IT support.,"Artificial Intelligence (AI), Information Technology","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Arlington, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",,,,Active,Early Stage Venture,2,"$25,000,000.00",USD,10/23/2024,Series A,"$32,000,000.00",USD,3,"Paladin Capital Group, Scale Venture Partners, Costanoa Ventures, Decibel Partners, StoneMill Ventures",,,-0.1,-0.5,-0.9,88.00%,N,0,,
Vooma,https://www.crunchbase.com/organization/vooma-ed49,1/1/2023,"Jesse Buckingham, Mike Carter",11-50,Vooma is a back-office automation platform that enables automated order entry for brokers and carriers.,"B2B, FinTech, Productivity Tools, Transportation","Financial Services, Other, Software, Transportation","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94107,,$1M to $10M,Active,Early Stage Venture,3,"$14,224,988.00",USD,12/2/2024,Series A,"$18,324,988.00",USD,3,"Craft Ventures, HOF Capital, Index Ventures, Y Combinator, project44",,,0.6,-0.3,-0.4,121.00%,N,0,,9 jobs open in past 1 year
Portkey AI,https://www.crunchbase.com/organization/portkey,1/1/2023,,51-100,"Portkey enables businesses to design, deploy, maintain, and improve on their generative AI apps and features more quickly.","Apps, Artificial Intelligence (AI), Generative AI, Internet","Apps, Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94114,,$1M to $10M,Active,Seed,2,,,7/17/2024,Seed,"$3,000,000.00",USD,2,"Lightspeed Venture Partners, Flybridge, NetApp Excellerator, sanjee sisodiya",,,0.0,0.1,3.2,-4.00%,N,0,,
Wokelo AI,https://www.crunchbase.com/organization/wokelo-ai,2/9/2023,"Saswat Nanda, Siddhant Masson",11-50,"Wokelo builds purpose-built AI agents for dealmaking and consulting, designed by domain-experts to power sourcing, diligence and strategy.","Artificial Intelligence (AI), Business Intelligence, Enterprise Software, Financial Services, Generative AI, Market Research","Artificial Intelligence (AI), Data and Analytics, Design, Financial Services, Science and Engineering, Software","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",98052,,,Active,Seed,2,"$4,000,000.00",USD,10/7/2024,Seed,"$5,500,000.00",USD,,"KPMG, Geek Ventures, Array Ventures, SeaChange, Pack Ventures",,,-0.2,-1.0,-0.3,69.00%,Y,0,1,
Dono,https://www.crunchbase.com/organization/dono-9246,1/1/2023,"Ron Likvornik, Tali Gross",11-50,Dono provides a platform to search public records making it easy to control and verify homeownership and title data.,"Artificial Intelligence (AI), Information Technology, Internet, PropTech","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Real Estate, Science and Engineering, Software","West Palm Beach, Florida, United States","Greater Miami Area, East Coast, Southern US",,,,Active,Seed,2,"$3,700,000.00",USD,7/9/2024,Seed,"$3,700,000.00",USD,1,"Link Ventures, Recursive Ventures, lool ventures, Matan Bar, Shai Wininger",7/20/2025,,-0.3,-0.7,5.6,147.00%,N,0,,1 job open 2 months ago
